epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.248,1.03191,3.00101,0.01924,0.78784,0.66886,0.7398,0.48661,0.98586,3.32981,0.0245,0.000662526,0.000662526,0.000662526
2,1028.17,1.19708,2.25622,0.02269,0.68023,0.70186,0.71988,0.43461,1.2056,2.42386,0.03191,0.00128533,0.00128533,0.00128533
3,1496.71,1.27764,1.89205,0.02467,0.66286,0.66149,0.64977,0.36813,1.37249,1.95526,0.03676,0.00186413,0.00186413,0.00186413
4,1963.97,1.32838,1.65468,0.02537,0.74234,0.6677,0.69454,0.40124,1.30114,1.61849,0.03436,0.001802,0.001802,0.001802
5,2433.25,1.30559,1.58317,0.02494,0.75289,0.70807,0.73895,0.44593,1.2431,1.51287,0.03282,0.001736,0.001736,0.001736
6,2901.11,1.29213,1.4497,0.02548,0.71014,0.70807,0.72098,0.45869,1.2257,1.37803,0.03236,0.00167,0.00167,0.00167
7,3368.96,1.30186,1.39926,0.02529,0.74304,0.62422,0.69149,0.41495,1.29647,1.48638,0.03521,0.001604,0.001604,0.001604
8,3836.93,1.27585,1.34389,0.0247,0.76186,0.68323,0.72609,0.41077,1.4101,1.40531,0.03931,0.001538,0.001538,0.001538
9,4304.88,1.22215,1.26028,0.0227,0.84183,0.72729,0.806,0.49031,1.21425,1.17661,0.03187,0.001472,0.001472,0.001472
10,4773.06,1.20933,1.23054,0.02284,0.82609,0.66385,0.78238,0.48083,1.24126,1.15553,0.03251,0.001406,0.001406,0.001406
11,5240.61,1.2179,1.23445,0.02277,0.84089,0.70497,0.81349,0.51969,1.14651,1.08538,0.02962,0.00134,0.00134,0.00134
12,5704.79,1.17745,1.18274,0.02182,0.806,0.77415,0.80983,0.5315,1.10925,1.09262,0.0285,0.001274,0.001274,0.001274
13,6446.65,1.13871,1.13045,0.02103,0.82768,0.74534,0.80955,0.50207,1.13013,1.06797,0.02877,0.001208,0.001208,0.001208
14,7307.48,1.12587,1.12592,0.02106,0.91319,0.68602,0.82829,0.53328,1.14686,1.04847,0.02915,0.001142,0.001142,0.001142
15,8167.24,1.12076,1.04223,0.02129,0.82029,0.73602,0.81719,0.56705,1.05608,1.01072,0.02649,0.001076,0.001076,0.001076
16,9042.05,1.08342,1.03448,0.02022,0.7954,0.77329,0.82644,0.55246,1.12048,0.97969,0.02821,0.00101,0.00101,0.00101
17,9937.1,1.07098,1.04394,0.01951,0.8437,0.73913,0.83851,0.57108,1.09181,0.95656,0.02825,0.000944,0.000944,0.000944
18,10839.9,1.05995,1.01149,0.01956,0.827,0.78685,0.85226,0.59451,1.05919,0.85042,0.02671,0.000878,0.000878,0.000878
19,11696,1.07566,1.00759,0.0199,0.84817,0.76335,0.82837,0.5847,1.03701,0.92785,0.0266,0.000812,0.000812,0.000812
20,12557.4,1.00663,0.95398,0.01854,0.85157,0.76617,0.8387,0.58491,1.02196,0.94065,0.0259,0.000746,0.000746,0.000746
21,13405.5,0.87375,0.7189,0.02197,0.88382,0.73242,0.83942,0.5942,0.99771,0.90441,0.02474,0.00068,0.00068,0.00068
22,14252.8,0.85896,0.64556,0.02134,0.82514,0.73913,0.83043,0.59013,1.0132,0.90818,0.02535,0.000614,0.000614,0.000614
23,15076.9,0.84628,0.6129,0.02092,0.8616,0.76708,0.85085,0.62035,1.01576,0.86033,0.02537,0.000548,0.000548,0.000548
24,15546.6,0.8375,0.60711,0.02014,0.88667,0.78571,0.86399,0.6277,0.97297,0.80238,0.02447,0.000482,0.000482,0.000482
25,16006.4,0.79432,0.5607,0.01918,0.84419,0.79503,0.86795,0.65174,0.92878,0.82076,0.02282,0.000416,0.000416,0.000416
26,16467.7,0.77304,0.51832,0.01871,0.84858,0.79503,0.85873,0.64958,0.90835,0.84421,0.02204,0.00035,0.00035,0.00035
27,16928.1,0.74644,0.49984,0.01816,0.84599,0.78472,0.85543,0.65163,0.91116,0.84938,0.02247,0.000284,0.000284,0.000284
28,17391,0.74967,0.49037,0.01753,0.8624,0.79814,0.86031,0.64112,0.88658,0.8478,0.0217,0.000218,0.000218,0.000218
29,17854.2,0.73646,0.47274,0.01723,0.85568,0.79503,0.8638,0.64992,0.88602,0.84147,0.02155,0.000152,0.000152,0.000152
30,18316.5,0.74223,0.44594,0.01784,0.8846,0.78559,0.86882,0.65481,0.89348,0.79425,0.0216,8.6e-05,8.6e-05,8.6e-05
