epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1033.37,0.93398,4.64329,0.01775,0.85977,0.41891,0.67508,0.43488,0.91597,7.51641,0.02379,0.000658436,0.000658436,0.000658436
2,2033.81,1.14154,3.36213,0.02214,0.65613,0.48447,0.56251,0.29477,1.28291,5.07654,0.03549,0.00128137,0.00128137,0.00128137
3,3021.88,1.23776,2.51328,0.0238,0.66628,0.62003,0.6338,0.27982,1.60545,3.01543,0.04723,0.00186031,0.00186031,0.00186031
4,4009.91,1.30129,2.02018,0.02565,0.67853,0.62273,0.66541,0.29341,1.62967,2.30736,0.04573,0.001802,0.001802,0.001802
5,4995.73,1.36303,1.70741,0.02734,0.71509,0.63975,0.66679,0.37543,1.39576,1.77163,0.03923,0.001736,0.001736,0.001736
6,6548.35,1.29469,1.53051,0.02599,0.68572,0.60559,0.62061,0.32327,1.44202,1.86922,0.04204,0.00167,0.00167,0.00167
7,7761.88,1.2548,1.36233,0.02473,0.70556,0.60559,0.59387,0.27149,1.62049,1.97952,0.04789,0.001604,0.001604,0.001604
8,8740.24,1.234,1.28768,0.02401,0.77164,0.59817,0.68458,0.37812,1.46044,1.50918,0.04271,0.001538,0.001538,0.001538
9,9719.41,1.22166,1.28646,0.02371,0.72536,0.73292,0.72974,0.4445,1.30904,1.23185,0.03629,0.001472,0.001472,0.001472
10,10697.9,1.19947,1.1985,0.02259,0.84984,0.71739,0.80675,0.48673,1.24689,1.19237,0.03385,0.001406,0.001406,0.001406
11,11679.3,1.14125,1.12422,0.02205,0.81194,0.7205,0.78503,0.51087,1.19766,1.07343,0.03308,0.00134,0.00134,0.00134
12,12658.5,1.15611,1.07757,0.02206,0.8004,0.7472,0.78866,0.50261,1.22734,1.1635,0.03367,0.001274,0.001274,0.001274
13,13642.4,1.12872,1.07383,0.02163,0.81508,0.75466,0.80365,0.5033,1.24852,1.12684,0.03505,0.001208,0.001208,0.001208
14,14623.3,1.08202,1.02811,0.02075,0.78171,0.77849,0.80799,0.51719,1.17915,1.03136,0.0328,0.001142,0.001142,0.001142
15,15603.2,1.08372,1.02624,0.02062,0.79547,0.79717,0.83783,0.53002,1.17141,0.99992,0.03298,0.001076,0.001076,0.001076
16,16584.5,1.05694,0.95936,0.02,0.85151,0.7764,0.84056,0.56903,1.13225,0.94898,0.03053,0.00101,0.00101,0.00101
17,17566.2,1.01643,0.94589,0.01938,0.83688,0.76398,0.82514,0.56594,1.06985,0.9423,0.0292,0.000944,0.000944,0.000944
18,18546.7,1.00863,0.92077,0.01954,0.83382,0.77019,0.83702,0.56496,1.11748,0.95892,0.0309,0.000878,0.000878,0.000878
19,19525.3,0.99971,0.91522,0.0188,0.8827,0.79193,0.86805,0.58743,1.10026,0.84952,0.02973,0.000812,0.000812,0.000812
20,20506.7,0.97571,0.85177,0.01821,0.90896,0.80124,0.87093,0.6231,1.0134,0.80267,0.02639,0.000746,0.000746,0.000746
21,21485.1,0.91209,0.65963,0.024,0.85072,0.80435,0.8653,0.60643,1.08798,0.80668,0.02908,0.00068,0.00068,0.00068
22,22453.9,0.83729,0.58813,0.02125,0.88831,0.78882,0.84709,0.58902,1.04163,0.86982,0.02756,0.000614,0.000614,0.000614
23,23419.9,0.8016,0.50971,0.02002,0.9044,0.7764,0.85957,0.59321,1.06941,0.84974,0.02886,0.000548,0.000548,0.000548
24,24586.7,0.76557,0.50223,0.01868,0.83983,0.83046,0.86667,0.6096,1.01222,0.83965,0.02671,0.000482,0.000482,0.000482
25,26133.8,0.75184,0.45639,0.01867,0.89775,0.81366,0.86458,0.61953,0.93657,0.83353,0.02381,0.000416,0.000416,0.000416
26,27636,0.72654,0.44554,0.01816,0.84454,0.82919,0.86814,0.6293,0.98863,0.75236,0.02555,0.00035,0.00035,0.00035
27,29092.3,0.68566,0.43232,0.01681,0.86721,0.81124,0.86559,0.6342,0.94892,0.82722,0.0244,0.000284,0.000284,0.000284
28,30562.6,0.69356,0.39642,0.01698,0.85895,0.85106,0.87554,0.64347,0.92826,0.79386,0.02373,0.000218,0.000218,0.000218
29,31949.4,0.66112,0.38816,0.01597,0.87288,0.83164,0.87678,0.63793,0.94769,0.7883,0.02433,0.000152,0.000152,0.000152
30,32926.6,0.67915,0.39555,0.0171,0.88184,0.81677,0.87177,0.63741,0.9298,0.80997,0.02389,8.6e-05,8.6e-05,8.6e-05
