epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.048,0.92393,5.11656,0.01718,0.004,0.97297,0.47031,0.34979,0.73311,8.18016,0.02046,0.00052,0.00052,0.00052
2,336.268,0.98354,4.41462,0.01902,0.79255,0.17213,0.54112,0.31371,0.83954,7.89968,0.02245,0.00102502,0.00102502,0.00102502
3,512.161,1.11327,4.14086,0.02193,0.58685,0.31532,0.42057,0.21269,1.36035,7.64517,0.03952,0.0014944,0.0014944,0.0014944
4,688.568,1.19128,3.62272,0.02369,0.49477,0.53153,0.46591,0.22367,1.25362,5.99147,0.03551,0.001802,0.001802,0.001802
5,863.553,1.23985,3.16236,0.02413,0.46004,0.52252,0.41718,0.1914,1.34605,5.41569,0.03763,0.001736,0.001736,0.001736
6,1037.16,1.21355,2.78913,0.02407,0.64184,0.56757,0.58068,0.3077,1.50919,4.10818,0.04517,0.00167,0.00167,0.00167
7,1208.4,1.27199,2.44954,0.02478,0.65132,0.4955,0.53013,0.27872,1.53462,3.64603,0.04769,0.001604,0.001604,0.001604
8,1401.51,1.29693,2.28337,0.02549,0.58284,0.54955,0.57878,0.34269,1.33823,3.14883,0.03932,0.001538,0.001538,0.001538
9,1661.87,1.1842,2.09053,0.0228,0.57784,0.65766,0.61118,0.33959,1.31223,2.73995,0.03779,0.001472,0.001472,0.001472
10,1916.65,1.17864,1.82212,0.02307,0.7671,0.57658,0.63601,0.35308,1.3589,2.4868,0.0398,0.001406,0.001406,0.001406
11,2171.07,1.25095,1.78393,0.02542,0.61496,0.58995,0.6187,0.35488,1.39468,2.35413,0.04197,0.00134,0.00134,0.00134
12,2423.57,1.24139,1.60154,0.02349,0.65087,0.62143,0.63572,0.39612,1.21736,2.01814,0.03553,0.001274,0.001274,0.001274
13,2678.26,1.23195,1.56012,0.02376,0.70601,0.75722,0.76528,0.47084,1.28611,1.70907,0.03727,0.001208,0.001208,0.001208
14,2933.05,1.16486,1.47551,0.0222,0.80413,0.66574,0.77569,0.51665,1.19645,1.45642,0.03397,0.001142,0.001142,0.001142
15,3200.08,1.12322,1.37091,0.02173,0.72994,0.61261,0.66859,0.43752,1.23264,1.70549,0.03568,0.001076,0.001076,0.001076
16,3390.97,1.09465,1.37699,0.02163,0.78279,0.67568,0.73799,0.45754,1.23033,1.54908,0.03545,0.00101,0.00101,0.00101
17,3550.48,1.11051,1.26685,0.02151,0.80263,0.69609,0.77323,0.51138,1.21731,1.41256,0.03461,0.000944,0.000944,0.000944
18,3717.84,1.08037,1.16328,0.02077,0.80485,0.75676,0.79356,0.54201,1.20576,1.30893,0.03409,0.000878,0.000878,0.000878
19,3890.07,1.04557,1.1954,0.02025,0.80795,0.72014,0.77304,0.54506,1.09893,1.37427,0.03161,0.000812,0.000812,0.000812
20,4063.2,1.00536,1.16387,0.01946,0.85766,0.73874,0.79545,0.5428,1.08656,1.35325,0.0306,0.000746,0.000746,0.000746
21,4233.94,0.9862,1.15612,0.02612,0.76397,0.68468,0.72703,0.50437,1.06931,1.43602,0.0299,0.00068,0.00068,0.00068
22,4403.45,0.91852,1.02718,0.02362,0.8948,0.72072,0.80045,0.54582,1.1071,1.18753,0.03065,0.000614,0.000614,0.000614
23,4620.4,0.91044,0.91242,0.02501,0.83502,0.68398,0.77414,0.53755,1.02185,1.33999,0.02886,0.000548,0.000548,0.000548
24,4956.6,0.84755,0.84776,0.02181,0.84062,0.76027,0.82236,0.59377,1.08853,1.12524,0.0306,0.000482,0.000482,0.000482
25,5144.83,0.83927,0.79954,0.02175,0.82005,0.78009,0.81251,0.59083,1.01385,1.10318,0.02796,0.000416,0.000416,0.000416
26,5311.01,0.78822,0.76554,0.02071,0.79154,0.7868,0.81275,0.6069,0.97136,1.12862,0.02648,0.00035,0.00035,0.00035
27,5475.81,0.76404,0.695,0.01879,0.82021,0.78091,0.83604,0.62313,0.98775,1.04229,0.02683,0.000284,0.000284,0.000284
28,5640.61,0.74507,0.71937,0.02004,0.84902,0.75992,0.83816,0.62307,0.95121,1.02696,0.02528,0.000218,0.000218,0.000218
29,5838.08,0.74186,0.65841,0.01889,0.88787,0.72072,0.8408,0.63583,0.96815,1.00594,0.02593,0.000152,0.000152,0.000152
30,6062.91,0.73069,0.61554,0.01792,0.85417,0.73877,0.83292,0.62632,0.99248,1.04148,0.02648,8.6e-05,8.6e-05,8.6e-05
